decile,n_customers,churners_captured,precision,lift,cumulative_recall,cumulative_clv_share
1,141,104,0.7375886524822695,2.7787765009291916,0.27807486631016043,0.3075263917927311
2,141,82,0.5815602836879432,2.190958394963401,0.49732620320855614,0.5332115863001516
3,141,59,0.41843971631205673,1.5764212841809837,0.6550802139037433,0.6961002979985227
4,141,47,0.3333333333333333,1.2557932263814615,0.7807486631016043,0.816635372534898
5,141,41,0.2907801418439716,1.0954791974817004,0.8903743315508021,0.8982395672958562
6,140,18,0.12857142857142856,0.4843773873185637,0.9385026737967914,0.9347287699017816
7,141,15,0.10638297872340426,0.40078507224940263,0.9786096256684492,0.978037766076671
8,141,5,0.03546099290780142,0.13359502408313423,0.9919786096256684,0.9922707781399158
9,141,2,0.014184397163120567,0.05343800963325369,0.9973262032085561,0.997885349569537
10,141,1,0.0070921985815602835,0.026719004816626844,1.0,0.9999999999999997
